,id,home_label,step,keyword,from_label,to_label,from_lat,from_lon,to_lat,to_lon,travel_d(km),travel_angle,stay_t(h),start,d_home
29,0,Massachusetts_Norfolk County,29,return,Rhode Island_Kent County,Ohio_Mahoning County,41.67775,-71.576314,41.01088,-80.770396,770.722971535866,-92.46613203579638,955.4486740045667,9718.053114135755,807.468872141658
30,0,Massachusetts_Norfolk County,30,return,Ohio_Mahoning County,Rhode Island_Providence County,41.01088,-80.770396,41.870488,-71.578242,771.7814581492092,79.85879011936164,69.14253806022666,9856.338190256209,46.812686910542205
31,0,Massachusetts_Norfolk County,31,return,Rhode Island_Providence County,Ohio_Mahoning County,41.870488,-71.578242,41.01088,-80.770396,771.7814581492092,-94.04992423380625,163.43909500310082,10183.21638026241,807.468872141658
32,0,Massachusetts_Norfolk County,32,return,Ohio_Mahoning County,Massachusetts_Norfolk County,41.01088,-80.770396,42.169703,-71.179875,807.4756831569466,77.65658489994325,164.46314130351954,10512.14266286945,0.03459432118886345
33,0,Massachusetts_Norfolk County,33,explore,Massachusetts_Norfolk County,Massachusetts_Middlesex County,42.169703,-71.179875,42.479477,-71.396507,38.77700199758808,,16.662074334403503,10528.804737203853,38.742927779189856
34,0,Massachusetts_Norfolk County,34,explore,Massachusetts_Norfolk County,Massachusetts_Middlesex County,42.479477,-71.396507,42.479477,-71.396507,0.0,,389.4176807160973,10918.22241791995,38.742927779189856
35,0,Massachusetts_Norfolk County,35,explore,Massachusetts_Norfolk County,Connecticut_New Haven County,42.479477,-71.396507,41.349717,-72.900204,176.80572019667042,,31.38354730898025,10949.60596522893,169.33964719974733
36,0,Massachusetts_Norfolk County,36,return,Massachusetts_Norfolk County,Rhode Island_Providence County,41.349717,-72.900204,41.870488,-71.578242,124.2255309266039,61.7783485043477,28.463572842171253,11006.533110913271,46.812686910542205
37,0,Massachusetts_Norfolk County,37,explore,Rhode Island_Providence County,Massachusetts_Bristol County,41.870488,-71.578242,41.748576,-71.087062,42.90703490747674,,200.14837876070294,11206.681489673974,47.48614248046315
38,0,Massachusetts_Norfolk County,38,return,Rhode Island_Providence County,Massachusetts_Plymouth County,41.748576,-71.087062,41.987196,-70.741942,38.9961646958548,47.00943112231808,83.47045761716576,11373.622404908307,41.47609029262972
